B	﻿			﻿	未知語						
	、	、			補助記号-読点			、		記号	24
	三	三	ミ	ミ	名詞-数詞			三	ミッ	和	36229
	日	日	カ	カ	接尾辞-名詞的-助数詞			日	カ	和	5582
	を	を	ヲ	ヲ	助詞-格助詞			を	オ	和	41407
	費やし	費やす	ツイヤス	ツイヤス	動詞-一般	五段-サ行	連用形-一般	費やし	ツイヤシ	和	24371
	た	た	タ	タ	助動詞	助動詞-タ	終止形-一般	た	タ	和	21642
	。	。			補助記号-句点			。		記号	25
	ところ	所	トコロ	トコロ	名詞-普通名詞-副詞可能			ところ	トコロ	和	26373
	が	が	ガ	ガ	助詞-格助詞			が	ガ	和	7889
	私	私-代名詞	ワタクシ	ワタクシ	代名詞			私	ワタクシ	和	41274
	が	が	ガ	ガ	助詞-格助詞			が	ガ	和	7889
	鎌倉	カマクラ	カマクラ	カマクラ	名詞-固有名詞-地名-一般			鎌倉	カマクラ	固	7055
	に	に	ニ	ニ	助詞-格助詞			に	ニ	和	28178
	着い	着く	ツク	ツク	動詞-一般	五段-カ行	連用形-イ音便	着い	ツイ	和	24538
	て	て	テ	テ	助詞-接続助詞			て	テ	和	24874
	三	三	ミ	ミ	名詞-数詞			三	ミッ	和	36229
	日	日	カ	カ	接尾辞-名詞的-助数詞			日	カ	和	5582
	と	と	ト	ト	助詞-格助詞			と	ト	和	25826
	経た	経つ	タツ	タツ	動詞-一般	五段-タ行	未然形-一般	経た	タタ	和	22437
	ない	ない	ナイ	ナイ	助動詞	助動詞-ナイ	連体形-一般	ない	ナイ	和	27438
	うち	内	ウチ	ウチ	名詞-普通名詞-副詞可能			うち	ウチ	和	3206
	に	に	ニ	ニ	助詞-格助詞			に	ニ	和	28178
	、	、			補助記号-読点			、		記号	24
	私	私-代名詞	ワタクシ	ワタクシ	代名詞			私	ワタクシ	和	41274
	を	を	ヲ	ヲ	助詞-格助詞			を	オ	和	41407
	呼び寄せ	呼び寄せる	ヨビヨセル	ヨビヨセル	動詞-一般	下一段-サ行	連用形-一般	呼び寄せ	ヨビヨセ	和	39446
	た	た	タ	タ	助動詞	助動詞-タ	連体形-一般	た	タ	和	21642
	友達	友達	トモダチ	トモダチ	名詞-普通名詞-一般			友達	トモダチ	和	26660
	は	は	ハ	ハ	助詞-係助詞			は	ワ	和	29321
	、	、			補助記号-読点			、		記号	24
	急	急	キュウ	キュウ	名詞-普通名詞-形状詞可能			急	キュー	漢	8932
	に	だ	ダ	ダ	助動詞	助動詞-ダ	連用形-ニ	に	ニ	和	22916
	国元	国元	クニモト	クニモト	名詞-普通名詞-一般			国元	クニモト	和	50653
	から	から	カラ	カラ	助詞-格助詞			から	カラ	和	7219
	帰れ	返る	カエル	カエル	動詞-一般	五段-ラ行	命令形	帰れ	カエレ	和	5979
	と	と	ト	ト	助詞-格助詞			と	ト	和	25826
	いう	言う	イウ	ユウ	動詞-一般	五段-ワア行	連体形-一般	いう	ユー	和	1571
	電報	電報	デンポウ	デンポウ	名詞-普通名詞-一般			電報	デンポー	漢	51787
	を	を	ヲ	ヲ	助詞-格助詞			を	オ	和	41407
	受け取っ	受け取る	ウケトル	ウケトル	動詞-一般	五段-ラ行	連用形-促音便	受け取っ	ウケトッ	和	3084
	た	た	タ	タ	助動詞	助動詞-タ	終止形-一般	た	タ	和	21642
	。	。			補助記号-句点			。		記号	25
	電報	電報	デンポウ	デンポウ	名詞-普通名詞-一般			電報	デンポー	漢	51787
	に	に	ニ	ニ	助詞-格助詞			に	ニ	和	28178
	は	は	ハ	ハ	助詞-係助詞			は	ワ	和	29321
	母	母	ハハ	ハハ	名詞-普通名詞-一般			母	ハハ	和	30052
	が	が	ガ	ガ	助詞-格助詞			が	ガ	和	7889
	病気	病気	ビョウキ	ビョウキ	名詞-普通名詞-サ変可能			病気	ビョーキ	漢	32085
	だ	だ	ダ	ダ	助動詞	助動詞-ダ	終止形-一般	だ	ダ	和	22916
	から	から	カラ	カラ	助詞-接続助詞			から	カラ	和	7218
	と	と	ト	ト	助詞-格助詞			と	ト	和	25826
	断っ	断る	コトワル	コトワル	動詞-一般	五段-ラ行	連用形-促音便	断っ	コトワッ	和	12878
	て	て	テ	テ	助詞-接続助詞			て	テ	和	24874
	あっ	有る	アル	アル	動詞-非自立可能	五段-ラ行	連用形-促音便	あっ	アッ	和	1216
